time,total_V,total_U,total_D,thermometer,indicator,kappa,gini_coefficient,circulation_rate
792,14805669.264925955,3019083.1104707806,17712718.802243035,1.1963470536386873,0.19634705363868732,0.1,0.47694506812774784,0.2039139910833257
793,14806760.3687241,3016479.5008449117,17712354.826729152,1.1962343136276088,0.1962343136276088,0.1,0.4773822541571724,0.20372312549992608
794,14790326.113120755,3014972.8499999507,17712169.16886141,1.1975509554957438,0.19755095549574375,0.1,0.4765545856051683,0.20384762492324737
795,14792324.438716207,3010995.075209062,17712293.220292766,1.1973975620717239,0.19739756207172388,0.1,0.4759218464328614,0.2035511786997
796,14787573.641582776,3008494.9559399937,17711864.567357734,1.1977532620734905,0.19775326207349053,0.1,0.47641416237546763,0.20344750456424315
797,14789507.300048698,3004536.058208865,17711874.758056656,1.1975973505214967,0.19759735052149674,0.1,0.4768188932328199,0.2031532218925895
798,14758569.52091534,3004280.648424454,17711523.98439647,1.2000840568793814,0.20008405687938136,0.1,0.4743458163641696,0.2035617777296702
799,14761680.536262034,2999407.080659209,17713036.184974436,1.1999335808319658,0.19993358083196577,0.1,0.4751316156271672,0.2031887272787927
800,14765283.931607088,3171482.322047417,17714916.124353647,1.1997680644956967,0.19976806449569673,0.1,0.47018487173301327,0.2147931822197086
801,14768697.697857203,3165883.020097391,17716324.02681175,1.1995860697576752,0.19958606975767523,0.1,0.4705925603623162,0.214364399953608
802,14769921.99888218,3162698.4056103504,17715652.45127071,1.1994411651335375,0.1994411651335375,0.1,0.47100407315004955,0.2141310161184135
803,14773416.554423748,3156991.893608579,17717118.974327944,1.199256712830096,0.19925671283009594,0.1,0.4714803300143444,0.21369409587677607
804,14767399.731510757,3154502.51506447,17716135.725385208,1.1996787550608807,0.19967875506088073,0.1,0.4738828221092506,0.21361259073480457
805,14770655.25800646,3149286.693204903,17717602.300016813,1.1995136295942563,0.19951362959425634,0.1,0.4733526491265798,0.21321238890182795
806,14773236.836972991,3144772.027654324,17718386.664976485,1.1993571118167323,0.19935711181673232,0.1,0.4741556365793893,0.2128695330859315
807,14775936.617968222,3139775.044585156,17718931.33763437,1.1991748337690709,0.19917483376907086,0.1,0.47447645922826776,0.2124924548449297
808,14779130.18278863,3134372.986178249,17720084.491227247,1.198993734547624,0.19899373454762403,0.1,0.4734024545621751,0.21208101880234156
809,14781149.623079926,3130529.0220269407,17720385.69398965,1.1988503023012684,0.19885030230126843,0.1,0.47330204812214083,0.2117919851875931
810,14783763.779778302,3125740.043113228,17720962.615667343,1.1986773381692308,0.19867733816923083,0.1,0.472960873200456,0.21143059979006928
811,14785675.02639302,3121662.3157870146,17720807.97349766,1.1985119341433725,0.19851193414337254,0.1,0.47116874089088023,0.21112748049816613
812,14789547.159991654,3115752.6440389403,17722846.36545204,1.1983359715972561,0.19833597159725613,0.1,0.47066525771852397,0.2106726196774708
813,14790286.852634452,3112934.753349104,17721546.79123953,1.1981881736176712,0.19818817361767116,0.1,0.46971210822818055,0.21047156044810764
814,14794710.95816094,3106146.420631461,17723839.517234147,1.1979848452164226,0.19798484521642257,0.1,0.46931835657393495,0.20994978742170511
815,14795590.68481066,3103206.780616131,17722705.631920874,1.1978369778852578,0.19783697788525778,0.1,0.4695724727686459,0.20973862056091633
816,14799535.432979753,3097078.7618819354,17724674.727849554,1.197650751141237,0.1976507511412371,0.1,0.46928573251934824,0.2092686473779648
817,14802124.711566065,3092447.1098344536,17725357.910795026,1.1974874050983242,0.1974874050983242,0.1,0.46992973600434595,0.208919136279002
818,14771621.62945024,3091648.736231707,17725026.973306697,1.1999377873292016,0.19993778732920164,0.1,0.46855361843630305,0.20929650202167885
819,14772836.694031758,3088482.992029193,17724355.30903467,1.1997936263788342,0.19979362637883424,0.1,0.4687848811548423,0.20906499245855356
820,14770493.879564969,3085270.12991123,17723576.12215281,1.1999311781086373,0.19993117810863725,0.1,0.4681571113183498,0.20888063426096484
821,14772488.639743965,3081139.8371448354,17723540.33712225,1.1997667264700929,0.19976672647009286,0.1,0.4670613328016022,0.20857283510479907
822,14772488.639743965,3079280.943784833,17721681.443762247,1.1996408916561128,0.19964089165611276,0.1,0.4675199852753704,0.20844700029081917
823,14776704.632090377,3072789.0823534844,17723843.461357743,1.1994449305609793,0.19944493056097934,0.1,0.4679588594344719,0.2079481967637323
824,14780399.253052104,3067006.235303811,17725644.309966356,1.1992669485099374,0.19926694850993742,0.1,0.46847833101061975,0.20750496537977375
825,14768268.348802676,3066140.899783973,17723565.884021573,1.2001113106438437,0.2001113106438437,0.1,0.4683451936312619,0.2076168192076871
826,14771919.495227298,3060207.7564619468,17725127.199150085,1.1999203762839994,0.1999203762839994,0.1,0.46784030067668825,0.20716385283921146
827,14772898.54809556,3057113.2991311923,17724042.376654185,1.199767419978598,0.19976741997859793,0.1,0.46767899178427697,0.2069406548199235
